src,irsstub,incrange,variable,value,table_description,column_description
18in11si.xls,0,All returns,nret_all,153774296,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,1,No adjusted gross income,nret_all,1962253,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,2,"$1 under $5,000",nret_all,9187650,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,3,"$5,000 under $10,000",nret_all,10014109,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,4,"$10,000 under $15,000",nret_all,11454274,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,5,"$15,000 under $20,000",nret_all,10187149,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,6,"$20,000 under $25,000",nret_all,9610628,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,7,"$25,000 under $30,000",nret_all,8984412,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,8,"$30,000 under $40,000",nret_all,15510580,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,9,"$40,000 under $50,000",nret_all,12017312,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,10,"$50,000 under $75,000",nret_all,21460676,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,11,"$75,000 under $100,000",nret_all,13685409,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,12,"$100,000 under $200,000",nret_all,21146537,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,13,"$200,000 under $500,000",nret_all,6905670,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,14,"$500,000 under $1,000,000",nret_all,1108430,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,15,"$1,000,000 under $1,500,000",nret_all,241713,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,16,"$1,500,000 under $2,000,000",nret_all,98583,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,17,"$2,000,000 under $5,000,000",nret_all,142011,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,18,"$5,000,000 under $10,000,000",nret_all,34788,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,19,"$10,000,000 or more",nret_all,22112,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
18in11si.xls,0,All returns,agi,11643439106,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,1,No adjusted gross income,agi,-201976721,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,2,"$1 under $5,000",agi,23842449,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,3,"$5,000 under $10,000",agi,75308230,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,4,"$10,000 under $15,000",agi,143054046,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,5,"$15,000 under $20,000",agi,177906312,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,6,"$20,000 under $25,000",agi,216239910,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,7,"$25,000 under $30,000",agi,246501955,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,8,"$30,000 under $40,000",agi,540526136,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,9,"$40,000 under $50,000",agi,538359657,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,10,"$50,000 under $75,000",agi,1321704614,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,11,"$75,000 under $100,000",agi,1185611667,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,12,"$100,000 under $200,000",agi,2878202869,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,13,"$200,000 under $500,000",agi,1971305644,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,14,"$500,000 under $1,000,000",agi,746778305,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,15,"$1,000,000 under $1,500,000",agi,291404083,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,16,"$1,500,000 under $2,000,000",agi,169699790,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,17,"$2,000,000 under $5,000,000",agi,421656233,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,18,"$5,000,000 under $10,000,000",agi,238308305,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,19,"$10,000,000 or more",agi,659005622,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
18in11si.xls,0,All returns,nrettxbl_ti,100424240,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
18in11si.xls,1,No adjusted gross income,nrettxbl_ti,3135,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income
